ID,gender,has_a_car,has_a_property,children_count,income,employment_status,education_level,marital_status,dwelling,age,employment_length,job_title,family_member_count,is_high_risk,cluster
5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,59,3,Security staff,2.0,0,0
5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,53,8,Sales staff,1.0,0,0
5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,53,8,Sales staff,1.0,0,1
5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46,2,Accountants,2.0,0,0
5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29,3,Accountants,2.0,0,0
5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29,3,Accountants,2.0,0,0
5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4,Laborers,2.0,0,0
5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4,Laborers,2.0,0,0
5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4,Laborers,2.0,0,0
5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5,Managers,3.0,0,0
5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5,Managers,3.0,0,1
5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5,Managers,3.0,0,0
5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12,Drivers,2.0,0,0
5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12,Drivers,2.0,0,0
5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12,Drivers,2.0,0,0
5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8,Laborers,4.0,0,0
5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8,Laborers,4.0,0,2
